id,first_name,last_name,email,job_title,basic_salary,allowances,Gross Salary
47002,Gordy,McCallam,gmccallam0@nydailynews.com,Quality Control Specialist,8078,1952,10030
47879,Doralynne,Rothman,drothman1@goo.ne.jp,Help Desk Technician,2657,1480,4137
47942,Alistair,Epperson,aepperson2@webeden.co.uk,Senior Cost Accountant,2661,1725,4386
47701,Brinna,Zavattiero,bzavattiero3@twitpic.com,Software Consultant,8231,1225,9456
47329,Starr,Gabbot,sgabbot4@economist.com,VP Accounting,2179,1007,3186
47795,Fonzie,Baelde,fbaelde5@purevolume.com,Desktop Support Technician,7232,333,7565
47898,Josias,Stedmond,jstedmond6@shutterfly.com,Sales Representative,1271,1496,2767
47586,Clementius,Botha,cbotha7@ihg.com,Mechanical Systems Engineer,4856,820,5676
47287,Booth,Raubheim,braubheim8@bing.com,Professor,2370,1281,3651
47233,Rudolf,Pauletti,rpauletti9@cbsnews.com,Health Coach I,8836,396,9232
Second Highest Salary=9456       ,average salary = 6008.6,,,,,,
